Asset_ID,Publish_Date,IG_Publish_Time,IG_Publish_Time_UK,Topic,Caption,Content_Bucket,Asset type,Cross_Posted,IG_Post_ID,IG_Permalink,IG_Duration_sec,IG_Views,IG_Reach,IG_Likes,IG_Comments,IG_Saves,IG_Shares,IG_Repost,IG_Profile_Visits,IG_Follows,IG_Follows_Attributed,Skip Rate,Avg Watch Time(sec),IG_External_Link_Tap,TT_Video_Title,TT_Link,TT_Post_Time,TT_Views,TT_Likes,TT_Comments,TT_Shares,TT_Saves,TT_Watched_Full,TT_Profile_Visits,TT_Follows,Main_Learning,Column 1,Column 2,Post_Objective,Featured_Person,Hook_Cover_Text,Caption_Opening_Line,Collab_Post,CTA,Column 3,Column 4
52,05/03/2026,03/05/2026 09:06,2026-03-05 17:06 GMT,aneta-redefining the way you find private specialist,We’re redefining the way you find private specialists.  Taking away that guesswork to save you time and give you more clarity. Try it out and see—link in BIO.,Brand,Reel,TRUE,17998273724879559,https://www.instagram.com/reel/DVgrFRVDL26/,0,188,148,5,0,0,0,0,0,0,0,63.70%,4,,We’re redefining the way you find private specialists. Taking away that guesswork to save you time and give you more clarity. Try it out and see - link in BIO.,https://www.tiktok.com/@docmap/video/7613769017051893014,2026/03/05 13:52:27,277,1,0,0,0,1.80%,,,"duration 51 sec, total watch time 13m 47 sec",,,Brand,,We’re redefining the way you find private specialists. Taking away that guesswork...,We’re redefining the way you find private specialists.,No,Link in bio,,
53,09/03/2026,03/09/2026 12:23,2026-03-09 19:23 GMT,aneta- worst medical advice you received - vulvodynia,"We ask, you answer: what's the worst medical advice you've ever received, women's health edition pt. 2  Sometimes the advice women are given to ""get better"" is genuinely shocking. Chimpanzee noises are currently ranking #1.  Vulvodynia affects up to 1 in 7 women and is still massively misunderstood, most people have never even heard of it. Philippa turned her experience into advocacy. Follow her journey @thrushsupport",Story,Reel,TRUE,18098244733759136,https://www.instagram.com/reel/DVrNulXkmPK/,59,197,162,5,0,0,1,0,0,0,0,64.90%,6,,"We ask, you answer: what's the worst medical advice you've ever received, women's health edition pt. 2 Sometimes the advice women are given to ""get better"" is genuinely shocking. Chimpanzee noises are currently ranking #1. Vulvodynia affects up to 1 in 7 women and is still massively misunderstood, most people have never even heard of it. Philippa turned her experience into advocacy. Follow her journey on IG @thrushsupport",https://www.tiktok.com/@docmap/video/7615269984591236374,2026/03/09 14:56:58,283,4,0,0,0,0.70%,,,"duration 1 min, total watch time 17 min 24 sec",,,Story,@thrushsupport,"We ask, you answer: what's the worst medical advice you've ever received,...","We ask, you answer: what's the worst medical advice you've ever received, women's health edition pt.",Yes,Follow us,,
54,10/03/2026,03/10/2026 10:57,2026-03-10 17:57 GMT,why the yellow ribbon for endo,"Week two of Endo Month. If you've been sharing, talking, and showing up, thank you.   If you're just finding out this is even a thing, that's exactly why we keep posting.  The yellow ribbon doesn't come off on March 31st 💛  #endometriosisawarenessmonth",Education,Carousel,FALSE,18043644710534599,https://www.instagram.com/p/DVto-XmjybY/,0,313,182,15,0,0,4,1,2,0,0,,,,,,,,,,,,,,,,,,Education,,"Week two of Endo Month. If you've been sharing, talking, and showing...",Week two of Endo Month.,No,,,
55,11/03/2026,03/11/2026 10:00,2026-03-11 17:00 GMT,"aneta- no time out, no your chat has ended","No time out, no ""your chat has ended""   Our recommendations stay in your WhatsApp.   We hope we can help you navigate to the right private specialist, all you need to do is drop us a message.   Speak soon!",Brand,Reel,TRUE,17927520282219098,https://www.instagram.com/reel/DVwHLtMDVee/,27,170,143,0,0,0,0,0,0,0,0,70.50%,4,,"No time out, no ""your chat has ended"" Our recommendations stay in your WhatsApp. We hope we can help you navigate to the right private specialist, all you need to do is drop us a message. Speak soon!",https://www.tiktok.com/@docmap/video/7616014791228001538,2026/03/11 15:07:15,272,2,0,0,0,1.45%,,,"duration 27 sec, total watch time 11m 44s ",,,Brand,,"No time out, no ""your chat has ended"" Our recommendations stay in...","No time out, no ""your chat has ended"" Our recommendations stay in your WhatsApp.",No,Message us / WhatsApp,,
56,12/03/2026,03/12/2026 10:35,2026-03-12 17:35 GMT,worst medical advice you received - remaining,Thank you to everyone who shared their story with us. 💛  Sometimes the road to answers is long but you reminded us that advocating for yourself is always worth it.   A second opinion can change everything.  Drop your experience in the comments.,Story,Reel,TRUE,18088228786899950,https://www.instagram.com/reel/DVywBIlDb3T/,27,174,142,3,0,0,0,0,0,0,0,79.70%,3,,Thank you to everyone who shared their story with us 💛 Sometimes the road to answers is long but you reminded us that advocating for yourself is always worth it. A second opinion can change everything. Drop your experience in the comments.,https://www.tiktok.com/@docmap/video/7616377384140295446,2026/03/12 14:34:43,263,2,0,0,0,2.59%,,,"duration 28 sec, total watch time 9m 35s",,,Story,,Thank you to everyone who shared their story with us. 💛 Sometimes...,Thank you to everyone who shared their story with us.,No,Comment below,,
57,13/03/2026,03/13/2026 00:45,2026-03-13 07:45 GMT,endo is as common as asthma and diabetes,"Endometriosis is as common as asthma or diabetes. So why don't we talk about it?  Endometriosis affects 1 in 10 women, that’s around 1.5 million people in the UK alone, roughly the same number affected by diabetes or asthma. And yet, 54% of people don't know what it is.  If half the population had never heard of asthma, we'd consider it a public health crisis.   It causes chronic pain, fatigue, and infertility and in many cases takes years to diagnose because symptoms are so often dismissed or normalised. The condition costs the UK economy £8.2 billion a year in treatment, healthcare, and lost work.  Research shows the economic burden is comparable to or higher than other chronic diseases like heart disease and diabetes.   The comparison to asthma or diabetes isn't just about numbers. It's about the gap between how seriously we take those conditions versus how endometriosis has historically been treated: as something to push through, not something to treat.  Awareness is especially low among young women. 62% of women aged 16–24 don't know what endometriosis is. The same group that is most likely to be experiencing their first symptoms and dismissing them as ""bad periods.""  Endometriosis deserves the same research funding, clinical urgency, and public awareness as any other chronic condition affecting millions of lives.",Education,Static Post,TRUE,18081458921200767,https://www.instagram.com/p/DV0RPWdjJAk/,0,144,56,6,0,0,0,0,1,0,0,,,,"Finding an endometriosis specialist who truly understands the condition shouldn't feel impossible but it often does. We help you find private endo specialists, so you're not left navigating it alone. Drop us a message and we'll take it from there 💛",https://www.tiktok.com/@docmap/video/7616758383286390038,2026/03/13 15:13:36,916,12,0,0,3,,,,,,,Education,,Endometriosis is as common as asthma or diabetes. So why don't we...,Endometriosis is as common as asthma or diabetes.,No,,,
58,17/03/2026,03/17/2026 09:36,2026-03-17 16:36 GMT,amy- i need help finding an endo specialist,"After my recent update regarding my endometriosis care under the NHS, I'm now debating whether I should go down the private route.   I've had so many recommendations of both surgeons and hospitals that I should look at around the globe! However I honestly don't know where to start with it all.   But then I discovered @docmapuk and thought I'd ask for their help.   DocMap offer a free WhatsApp based service to help women, like myself, find the right private specialist surgeon without the hours of research.   The service itself is quick, free and reliable with an actual person on the other end of the chat...no bots or AI!  They take away the stress and overwhelming feelings that can come with this type of research. And honestly anything that saves us energy whilst living with Endometriosis is a win right?   If you're looking into private healthcare, or just curious to see what options they could find for you, I've popped the link in my bio where you can message them directly.   And remember, it's completely free!  I now basically have my whole surgery team lined up and in place ready for when the time comes!🙌🏼  #docmap #docmapuk #docmapukpartner #endometriosis #womenshealth","Story, Brand",Reel,FALSE,18057896480422470,https://www.instagram.com/reel/DV_g3JBDBEy/,90,7271,,158,28,45,0,5,untrackable due to collab,untrackable due to collab,,58.20%,11,,"Endometriosis awareness has been marked in March since the early 1990s, when patient advocates first pushed to make this disease visible. Thirty years later, were still fighting forthe same things, faster diagnosis and more research. 1 in 10. No cure 8-10 years to get a diagnosis on average. Swipe through. Share it. And if you want to do more than post go to endometriosis-uk.org",https://www.tiktok.com/@docmap/video/7618206095848328470,2026/03/17 12:50:40,835,31,0,0,2,,,,"duration 1 min 30, total watch time 16h 52m 53s",,,"Story, Brand",,"After my recent update regarding my endometriosis care under the NHS, I'm...","After my recent update regarding my endometriosis care under the NHS, I'm now debating whether I should go down the private route.",No,Message us / WhatsApp,,
59,17/03/2026,03/17/2026 10:15,2026-03-17 17:15 GMT,endo truth they dont tell you,"It's week three of Endometriosis Awareness Month and we're not done talking about it 🎗️  The basics are out there but some truths about endometriosis still don't get nearly enough airtime.  If you're feeling lost, don't know where to turn, or need a second opinion from a specialist who will actually listen, we can help.   We connect women with the right private specialists so you don't have to navigate it alone.  Drop us a message on WhatsApp or find the link in our bio 🔗",Education,Carousel,FALSE,18093136475162584,https://www.instagram.com/p/DV_lqcKDOLe/,0,347,197,13,0,3,2,1,11,0,0,,,,"Endometriosis awareness has been marked in March since the early 1990s, when patient advocates first pushed to make this disease visible. Thirty years later, were still fighting forthe same things, faster diagnosis and more research. 1 in 10. No cure 8-10 years to get a diagnosis on average. Swipe through. Share it. And if you want to do more than post go to endometriosis-uk.org",https://www.tiktok.com/@docmap/video/7618206095848328470,2026/03/17 12:50:40,835,31,0,0,2,,,,,,,Education,,It's week three of Endometriosis Awareness Month and we're not done talking...,It's week three of Endometriosis Awareness Month and we're not done talking about it 🎗️ The basics are out there but some truths about endometriosis still don't get nearly enough airtime.,No,Message us / WhatsApp,,
60,18/03/2026,03/18/2026 10:05,2026-03-18 17:05 GMT,aneta-whatsapp - one of the most common and painful patterns we,"One of the most common and painful patterns we hear from the endometriosis community is being dismissed, delayed, or never properly referred, because the NHS is under immense pressure.  The problem is that going private can feel overwhelming.   We don’t just point you in the right direction.   We shortlist the right specialists, explain why they’re a strong fit, clarify costs, and if you’d like, we handle the booking for you as well.   You focus on your health. We take care of the rest.",Brand,Reel,TRUE,18206189152330870,https://www.instagram.com/reel/DWBWmDvjDMJ/,32,145,130,4,0,1,0,0,0,0,0,91.50%,2,,"One of the most common and painful patterns we hear from the endometriosis community is being dismissed, delayed, or never properly referred, because the NHS is under immense pressure. The problem is that going private can feel overwhelming. We don't just point you in the right direction. We shortlist the right specialists, explain why they're a strong fit, clarify costs, and if you'd like, we handle the booking for you as well. You focus on your health. We take care of the rest.",https://www.tiktok.com/@docmap/video/7618633563667402007,2026/03/18 16:29:24,263,2,0,0,0,0%,,,"duration 33 sec, total watch time 5m 10s",,,Brand,,One of the most common and painful patterns we hear from the...,"One of the most common and painful patterns we hear from the endometriosis community is being dismissed, delayed, or never properly referred, because the NHS is under immense pressure.",No,Book appointment/call,,
61,19/03/2026,03/19/2026 11:10,2026-03-19 18:10 GMT,emily-whatsapp- finding an endo specialist who truly understand,"Finding an endometriosis specialist who truly understands the condition shouldn't feel impossible but it often does.  We help you find private endo specialists, so you're not left navigating it alone.  Drop us a message and we'll take it from there 💛",Brand,Reel,TRUE,18095770778081206,https://www.instagram.com/reel/DWBW84cjm_z/,49,178,144,4,0,0,0,0,0,0,0,83.20%,4,,,,,281,3,0,0,1,0.34%,,,"duration 49 sec, total watch time 10m 37s",,,Brand,,Finding an endometriosis specialist who truly understands the condition shouldn't feel impossible...,Finding an endometriosis specialist who truly understands the condition shouldn't feel impossible but it often does.,No,Message us / WhatsApp,,
62,20/03/2026,03/20/2026 02:20,2026-03-20 09:20 GMT,endo meme,78% of endo patients were told they were making a fuss about nothing. They weren't. You aren't either.,Validation,Carousel,TRUE,18003471233714988,https://www.instagram.com/p/DWGduzbDGq5/,0,216,72,21,0,0,0,1,2,0,0,,,,,,,888,20,0,1,1,3/6,,,,,,Validation,,78% of endo patients were told they were making a fuss about...,78% of endo patients were told they were making a fuss about nothing.,No,,,
63,26/03/2026,03/26/2026 11:07,2026-03-26 18:07 GMT,aneta-amy - interview/podcast- biggest misconception,"We sat down with Amy-Jane @growwithendo 🎗️  Amy started her Instagram back in 2023 to share her endo journey and show that despite living with endometriosis, she refuses to give up on life. And honestly? Her energy is everything.  Endometriosis is so much more than bad period pain and women like Amy are on the front line of changing that narrative, one conversation at a time. The more we talk about it, the harder it becomes to ignore.  More coming soon🧡",Story,Reel,TRUE,17866585311602589,https://www.instagram.com/reel/DWW2sATjLTe/,45,3701,2552,110,5,14,13,4,3,3,3,58.60%,11,,,,,312,9,0,1,0,3.96%,,,,,,Story,@growwithendo,We sat down with Amy-Jane @growwithendo 🎗️ Amy started her Instagram back...,"We sat down with Amy-Jane @growwithendo 🎗️ Amy started her Instagram back in 2023 to share her endo journey and show that despite living with endometriosis, she refuses to give up on life.",Yes,,,
64,27/03/2026,03/27/2026 05:24,2026-03-27 12:24 GMT,bin collecting low pain tolerance comments,This bin collects low pain tolerance comments so you don't have to carry them anymore.,Validation,Static Post,FALSE,18158324923446315,https://www.instagram.com/p/DWY0G0RDIrE/,0,91,50,8,1,0,0,0,0,,0,,,,"We sat down with Amy-Jane @growwithendo 🎗️ Amy started her Instagram back in 2023 to share her endo journey and show that despite living with endometriosis, she refuses to give up on life. And honestly? Her energy is everything. Endometriosis is so much more than bad period pain and women like Amy are on the front line of changing that narrative, one conversation at a time. The more we talk about it, the harder it becomes to ignore. More coming soon🧡",https://www.tiktok.com/@docmap/video/7621897161323875607,2026/03/27 11:33:52,312,9,0,1,0,,,,,,,Validation,,This bin collects low pain tolerance comments so you don't have to...,This bin collects low pain tolerance comments so you don't have to carry them anymore.,No,Comment below,,
65,29/03/2026,03/29/2026 04:00,2026-03-29 12:00 BST,aneta- debunking endo myth - endo wont grow back after surgery,"If you've been told surgery will fix your endo for good, this one's for you. Laparoscopy can be genuinely life-changing. But it removes the result of endo, not the cause.",Education,Reel,TRUE,18031957793790374,https://www.instagram.com/reel/DWd0TrIOvpi/,46,195,161,9,0,0,1,0,0,0,0,70.80%,4,,,,,615,8,0,0,1,5.29%,,,,,,Education,,"If you've been told surgery will fix your endo for good, this...","If you've been told surgery will fix your endo for good, this one's for you.",No,,,
66,30/03/2026,03/30/2026 09:41,2026-03-30 17:41 BST,Aneta- yoga pose for endo belly,"If you have endometriosis, you probably know endo belly all too well.   Gentle yoga can really help, certain poses work by opening the hips and pelvis, stimulating digestion, releasing the pelvic floor and switching the nervous system into rest mode, all of which can make a real difference to bloating.   No intense flows, no pressure, just slow, intentional movements.  Does anyone else turn to yoga when endo belly hits?",Education,Reel,FALSE,18087119393211335,https://www.instagram.com/reel/DWhAFGRjipy/,0,234,182,7,1,5,1,0,0,0,0,51.90%,6,,,,,,,,,,,,,,,,Education,,"If you have endometriosis, you probably know endo belly all too well....","If you have endometriosis, you probably know endo belly all too well.",No,,,
67,01/04/2026,04/01/2026 08:58,2026-04-01 16:58 BST,silent endo symptoms,"Everything else but painful periods.   Endometriosis has more symptoms, don’t brush them off. Fight for being heard.",Education,Carousel,TRUE,17879947461540352,https://www.instagram.com/p/DWmE27ZjMPT/,0,118,42,9,0,1,0,0,3,1,1,,,,,,,1675,70,0,9,23,3.1/7,,1,,,,Education,,"Everything else but painful periods. Endometriosis has more symptoms, don’t brush them...",Everything else but painful periods.,No,,,
68,02/04/2026,04/02/2026 08:51,2026-04-02 16:51 BST,aneta-amy-interview/podcast - endo community is the best,"From our talk with Amy-Jane @growwithendo about the wonderful Endo community.  Although you may feel alone in this, you aren't really alone.",Story,Reel,FALSE,18058721423705757,https://www.instagram.com/reel/DWonkEFjPxh/,54,1335,1121,17,0,0,1,0,0,1,1,69.30%,7,,"Endometriosis has more symptoms, don't brush them off. Fight for being heard.",https://www.tiktok.com/@docmap/video/7624194576072363286,2026/04/02 16:08:54,1677,70,0,9,23,,,,,,,Story,@growwithendo,From our talk with Amy-Jane @growwithendo about the wonderful Endo community. Although...,From our talk with Amy-Jane @growwithendo about the wonderful Endo community.,Yes,,,
69,03/04/2026,04/03/2026 00:40,2026-04-03 08:40 BST,reminder endo is recongised as one of the most painful disease,"Did you know that endometriosis is widely recognized as one of the most painful medical conditions?  Sitting alongside cancer, kidney stones, and childbirth  But if endometriosis gave us anything, it's the most compassionate community of women.",Education,Static Post,FALSE,18078452342423021,https://www.instagram.com/p/DWqVcl_DB9o/,0,64,33,4,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,Education,,Did you know that endometriosis is widely recognized as one of the...,"Did you know that endometriosis is widely recognized as one of the most painful medical conditions? Sitting alongside cancer, kidney stones, and childbirth But if endometriosis gave us anything, it's the most compassionate community of women.",No,,,
70,07/04/2026,04/07/2026 08:05,2026-04-07 16:05 BST,aneta-amy-interview/podcast - dealing with body changes and endo belly,"Dealing with body changes and endo belly are some of the symptoms that, on top of dealing with pain, can destroy one's confidence and mental health.   However, we are not just our bodies, we are a whole package.   Once you stop hating your body, everything becomes just so much easier - @growwithendo",Story,Reel,TRUE,18420535813134423,https://www.instagram.com/reel/DW1bU6DjDyO/,63,178,144,6,1,2,0,0,0,0,0,56.50%,6,,"From our talk with Amy-Jane @growwithendo about the wonderful Endo community. Although you may feel alone in this, you aren't really alone.",https://www.tiktok.com/@docmap/video/7625925094199659798,2026/04/07 08:04:17,273,15,0,0,0,0.71%,,,,,,Story,@growwithendo,Dealing with body changes and endo belly are some of the symptoms...,"Dealing with body changes and endo belly are some of the symptoms that, on top of dealing with pain, can destroy one's confidence and mental health.",Yes,,,
71,08/04/2026,04/08/2026 09:40,2026-04-08 17:40 BST,aneta-amy-interview/podcast-body positivity and social media,"Body positivity and social media.   It's hard for us women to stop comparing our bodies, let alone when your body is battling a chronic illness.   We agreed with Amy that getting off social media is the best thing you can do (but it's hard when your job requires it).",Story,Reel,FALSE,18334302316217912,https://www.instagram.com/reel/DW4LMSZtieQ/,80,152,133,4,0,0,0,0,0,0,0,60%,7,,,,,,,,,,,,,,,,Story,,Body positivity and social media. It's hard for us women to stop...,Body positivity and social media.,No,,,
72,09/04/2026,04/09/2026 10:58,2026-04-09 18:58 BST,aneta-amy-interview/podcast-endometriosis takes a toll on your body,"Endometriosis takes a toll on your body, and in the age of social media, it's easy to fall into the trap of comparing yourself and chasing that perfect body.   But we are more than just our bodies :)",Story,Reel,TRUE,18318301375258280,https://www.instagram.com/reel/DW6426PDP77/,27,3445,2414,73,3,9,3,6,,6,6,50.30%,10,,"Endometriosis takes a toll on your body, and in the age of social media, it's easy to fall into the trap of comparing yourself and chasing that perfect body. But we are more than just our bodies :) @growwithendo",https://www.tiktok.com/@docmap/video/7626821939394317590,2026/04/09 18:04:26,1002,48,2,1,1,11.57%,,3,,,,Story,,"Endometriosis takes a toll on your body, and in the age of...","Endometriosis takes a toll on your body, and in the age of social media, it's easy to fall into the trap of comparing yourself and chasing that perfect body.",No,,,
73,10/04/2026,04/10/2026 10:00,2026-04-10 18:00 BST,aneta-amy-interview/podcast-hows the experience going through NHS vs Private,"How's the experience going though NHS vs private.   Many women decide to go through the private path when they start hitting the wall.   You automatically expect a better quality of treatment and aftercare.   But since this path is self-funded, you want to make sure you are choosing the right doctor.   What if there was a service that can help you with finding the right doctor?  Message us on our WhatsApp and we will filter the most suitable options for you based on location, symptoms or insurance.   No paid favouritism, truly an add-on to our booking system.",Story,Reel,TRUE,17981734706988692,https://www.instagram.com/reel/DW9XALXNIQA/,47,387,301,6,0,1,0,0,0,0,0,46%,11,,,,,265,6,0,1,1,3.32%,,,,,,Story,,How's the experience going though NHS vs private. Many women decide to...,How's the experience going though NHS vs private.,No,Message us / WhatsApp,,
74,13/04/2026,04/13/2026 09:02,2026-04-13 17:02 BST,"aneta-amy-interview/podcast-when nhs wasnt enough, amy went private","When the NHS wasn't enough, Amy went private.   Here's her honest comparison of having surgery done both ways and what really sets them apart.  Had your surgery both on the NHS and privately?  What was the biggest difference for you, besides the cost? 👇",Story,Reel,TRUE,18091921282918270,https://www.instagram.com/reel/DXE-uQujHwL/,52,223,178,8,0,0,0,0,0,0,0,48.90%,9,,,,,824,11,2,1,0,7.99%,,1,,,,Story,,"When the NHS wasn't enough, Amy went private. Here's her honest comparison...","When the NHS wasn't enough, Amy went private.",No,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
