Asset_ID,Publish_Date,IG_Publish_Time,IG_Publish_Time_UK,Topic,Caption,Content_Bucket,Asset type,Cross_Posted,IG_Post_ID,IG_Permalink,IG_Duration_sec,IG_Views,IG_Reach,IG_Likes,IG_Comments,IG_Saves,IG_Shares,IG_Repost,IG_Profile_Visits,IG_Follows,IG_Follows_Attributed,Skip Rate,Avg Watch Time(sec),IG_External_Link_Tap,TT_Video_Title,TT_Link,TT_Post_Time,TT_Views,TT_Likes,TT_Comments,TT_Shares,TT_Saves,TT_Watched_Full,TT_Profile_Visits,TT_Follows,Main_Learning,Column 1,Column 2,Post_Objective,Featured_Person,Hook_Cover_Text,Caption_Opening_Line,Collab_Post,CTA,Column 3,Column 4
42,17/02/2026,02/17/2026 09:10,2026-02-17 17:10 GMT,aneta- here's what people said during our testing,"Thank you to everyone who helped and joined the call. It has been great chatting with you all.   You helped us to shine a light on the world of living with endometriosis, navigating the system, and your day to day life.   Your feedback won't go unnoticed, more updates coming soon!",Brand,Reel,TRUE,18081171419253617,https://www.instagram.com/reel/DU3e6A5jPz1/,47,213,160,8,0,0,0,1,2,2,2,72.80%,6,,,,,765,7,0,0,0,1.42%,,,"duration 48 sec, total watch time 20 min 29s",,,Brand,,Thank you to everyone who helped and joined the call. It has...,Thank you to everyone who helped and joined the call.,No,,,
43,18/02/2026,02/18/2026 11:17,2026-02-18 19:17 GMT,aneta - you cant go wrong with these 3 recipes,"You can't go wrong with these 3 recipes! Easy to make, fresh, and with veggies - exactly what your body needs.  Feta & Cherry Tomato Pasta Serves 2-3 people * Feta Cheese: 1 block * Cherry Tomatoes: 500g to 600g (about 2-3 cups) * Pasta: 250g to 300g  * Garlic: 3–4 cloves - with the skin * Olive Oil * Basil * Black Peper  Preheat your oven to 200°C Place in the oven for 30 minutes. Once it’s done, squeeze out garlic Use your hand blender if you want the sauce to be extra smooth Add your pasta  If you have a go-to easy meal, drop it down in the comments! 👇",Education,Reel,TRUE,18092392280089668,https://www.instagram.com/reel/DU6SFrPDmYJ/,43,272,220,4,0,1,0,,0,0,0,81.90%,4,,"You can't go wrong with these 3 recipes! Easy to make, fresh, and with veggies - exactly what your body needs. Feta & Cherry Tomato Pasta Serves 2-3 people Feta Cheese: 1 block Cherry Tomatoes: 500g to 600g (about 2-3 cups) Pasta: 250g to 300g Garlic: 3–4 cloves - with the skin Olive Oil Basil Black Peper Preheat your oven to 200°C Place in the oven for 30 minutes. Once it’s done, squeeze out garlic Use your hand blender if you want the sauce to be extra smooth Add your pasta If you have a go-to easy meal, drop it down in the comments! 👇",https://www.tiktok.com/@docmap/video/7608217133717130518,2026/02/18 14:48:16,795,5,0,0,0,1.61%,,,"duration 47 sec, total watch time 18m 27 sec",,,Education,,"You can't go wrong with these 3 recipes! Easy to make, fresh,...","You can't go wrong with these 3 recipes! Easy to make, fresh, and with veggies - exactly what your body needs.",No,Comment below,,
44,19/02/2026,02/19/2026 11:15,2026-02-19 19:15 GMT,endo nurse-how to reach out to them,"An Endometriosis Nurse is your clinical guide for symptom management and care coordination. Whether you use the NHS or private care, knowing how to access one can help you to navigate this journey better.  Need help navigating your care? Click our WhatsApp link in bio and let’s chat!","Pathway, Education",Carousel,FALSE,18158534602425059,https://www.instagram.com/p/DU82w0kjFJY/,0,97,37,5,0,0,0,0,2,0,0,,,,Let us know!,https://www.tiktok.com/@docmap/video/7608506701788106006,2026/02/19 09:32:05,254,0,0,0,0,,,,,,,"Pathway, Education",,An Endometriosis Nurse is your clinical guide for symptom management and care...,An Endometriosis Nurse is your clinical guide for symptom management and care coordination.,No,Link in bio,,
45,23/02/2026,02/23/2026 10:20,2026-02-23 18:20 GMT,abbie's endometriosis story,"This is Abbie’s story and her journey with Endometriosis. For her, it wasn’t just about painful periods. Endo is more than just ""bad cramps"" or infertility; it is a whole-body issue that affects every part of a person's life.  Every story is different, yet we are all in this together.",Story,Carousel,FALSE,18063234362650677,https://www.instagram.com/p/DVHDpMpDGXl/,0,201,83,13,0,0,1,1,5,0,0,,,1,,,,,,,,,,,,,,,Story,,"This is Abbie’s story and her journey with Endometriosis. For her, it...",This is Abbie’s story and her journey with Endometriosis.,No,,,
46,24/02/2026,02/24/2026 08:20,2026-02-24 16:20 GMT,"your feedback matters, update based on talking to you","Once again, thank you to everyone who spent some time giving us feedback and sharing your journey of navigating your diagnosis.  We’re making sure that our tool is here for you, and all your suggestions have been taken in. Here are some of our first updates that you can now find when looking for a specialist.",Brand,Carousel,FALSE,18093759152082466,https://www.instagram.com/p/DVJawdZDGf9/,0,99,28,8,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,Brand,,"Once again, thank you to everyone who spent some time giving us...","Once again, thank you to everyone who spent some time giving us feedback and sharing your journey of navigating your diagnosis.",No,,,
47,25/02/2026,02/25/2026 08:58,2026-02-25 16:58 GMT,aneta-debunking endo myth 2-why painful periods are often dismissed by doctors,"In this episode of Debunking Endo Myths, we’re diving into why painful periods are so often dismissed by doctors.   Reminder: painful period is not normal. If you’re living on a cycle of painkillers just to survive the day, it’s time to seek real answers.","Education, Validation",Reel,TRUE,18096319285805318,https://www.instagram.com/reel/DVMDy2RjCvs/,0,231,194,11,0,0,0,0,0,0,0,77.60%,6,,"In this episode of Debunking Endo Myths, we’re diving into why painful periods are so often dismissed by doctors.  Reminder: painful period is not normal. If you’re living on a cycle of painkillers just to survive the day, it’s time to seek real answers.",https://www.tiktok.com/@docmap/video/7610852016126020886,2026/02/25 17:13:00,311,10,0,0,1,2.24%,,,"duration 1:04, total watch time 22 mins 41 sec",,,"Education, Validation",,"In this episode of Debunking Endo Myths, we’re diving into why painful...","In this episode of Debunking Endo Myths, we’re diving into why painful periods are so often dismissed by doctors.",No,,,
48,26/02/2026,02/26/2026 14:04,2026-02-26 22:04 GMT,aneta- worst medical advice you received- painful sex,"We ask, you answer: What’s the worst medical advice you have ever received—women’s health edition.  Painful sex is one of the first symptoms that many women diagnosed with endometriosis have mentioned.  If your symptoms are not improving or are getting worse, it’s time to get a second opinion.","Validation, Story",Reel,TRUE,18098353025301343,https://www.instagram.com/reel/DVPLnEPjEej/,0,174,134,7,0,0,0,0,0,0,0,47%,9,,,,,302,4,0,0,0,3.58%,,,"duration 36 sec, total watch time 21 min 32 sec",,,"Validation, Story",,"We ask, you answer: What’s the worst medical advice you have ever...","We ask, you answer: What’s the worst medical advice you have ever received—women’s health edition.",No,,,
49,27/02/2026,,,"emily-whatsapp -if you have endo, in pain, looking for a specialist",,Brand,Reel,TRUE,,,,188,,8,0,1,0,0,0,0,,67.60%,8,,"We ask, you answer: What’s the worst medical advice you have ever received 🩷women’s health edition🩷 Painful sex is one of the first symptoms that many women diagnosed with endometriosis have mentioned. If your symptoms are not improving or are getting worse, it’s time to get a second opinion.",https://www.tiktok.com/@docmap/video/7611515895508208918,2026/02/27 12:09:13,279,1,0,0,0,0.70%,,,"duration 34 sec, total watch time 20 m 47 sec",,,Brand,,,,No,,,
50,02/03/2026,03/02/2026 08:50,2026-03-02 16:50 GMT,aneta- raise your hand if youve ever been told that having painful period is normal and sent home,"Raise your hand if you’ve ever been told that “having painful period is normal and sent home 🙋‍♀️  So many of us ignore our symptoms for years because we’re told it’s normal.   However, if the pain stops you from functioning in day-to-day life, it’s time to book that appointment.",Validation,Reel,TRUE,18155672062439534,https://www.instagram.com/reel/DVY63rvjW4g/,24,199,150,6,3,0,0,1,0,0,0,85.20%,4,,"Raise your hand if you’ve ever been told that “having painful period is normal and sent home 🙋‍♀️ So many of us ignore our symptoms for years because we’re told it’s normal. However, if the pain stops you from functioning in day-to-day life, it’s time to book that appointment.",https://www.tiktok.com/@docmap/video/7612685378457308438,2026/03/02 15:47:23,792,11,0,0,1,3.49%,,,"duration 24 sec, total watch time 12 min 2 s",,,Validation,,Raise your hand if you’ve ever been told that “having painful period...,Raise your hand if you’ve ever been told that “having painful period is normal and sent home 🙋‍♀️ So many of us ignore our symptoms for years because we’re told it’s normal.,No,Book appointment/call,,
51,04/03/2026,03/04/2026 09:30,2026-03-04 17:30 GMT,aneta - 3 recipes if you cant be bothered to cook,"This one is for all of you who can’t be bothered with cooking but need that go to list of low-effort meals.   I’ve tried many TikTok recipes over the years and these three are my all time go tos.  * Feta & Cherry Tomato: This one went viral for a reason. Good tomatoes are the backbone, so don't cheap out on these!� * Lazy Poke Bowl: My all-time favorite, as I can change things up every time.� * Korean Rice with Kimchi: This is quite literally the easiest meal you can make.   I hope this helps, and let me know in the comments if you want more easy, endo-friendly nutrition tips!",Education,Reel,TRUE,17905179564205917,https://www.instagram.com/reel/DVeJH23jeUt/,17,176,146,4,0,0,0,0,0,0,0,66.40%,3,,"3 easy meals This one is for all of you who can’t be bothered with cooking but need that go to list of low-effort meals. I’ve tried many TikTok recipes over the years and these three are my all time go tos. Feta & Cherry Tomato: This one went viral for a reason. Good tomatoes are the backbone, so don't cheap out on these! Lazy Poke Bowl: My all-time favorite, as I can change things up every time. Korean Rice with Kimchi: This is quite literally the easiest meal you can make. I hope this helps, and let me know in the comments if you want more easy, endo-friendly nutrition tips!",https://www.tiktok.com/@docmap/video/7613435223086288150,2026/03/04 16:17:09,267,2,0,0,0,1.87%,,,"duration 18 sec, total watch time 9m 33. I dont know why we are still posting recipe videos and the recipe videos are targing no one",,,Education,,This one is for all of you who can’t be bothered with...,This one is for all of you who can’t be bothered with cooking but need that go to list of low-effort meals.,No,Comment below,,
